Nome,Ente federativo,Cargo (ultima alteração),Partido,Twitter,Facebook,FacebookID,Data início,Data término
Jair Messias Bolsonaro,União,Presidente-eleito,PSL,jairbolsonaro,jairmessias.bolsonaro,,28/10/2018,-
Flávio Bolsonaro,Estado do Rio de Janeiro,Senador-eleito,PSL,FlavioBolsonaro,flaviobolsonaro,,28/10/2018,-
General Hamilton Mourão,União,Vice-presidente eleito,PRTB,GeneralMourao,-,,28/10/2018,-
Leda Maria Sadala Brito,,Deputado Federal eleito,AVANTE,,,id184298072237044,28/10/2018,
Carlos Tito Marques Cordeiro,,Deputado Federal eleito,AVANTE,,,id451370971560727,28/10/2018,
Manoel Isidorio De Santana Junior,,Deputado Federal eleito,AVANTE,,,id1642363142681223,28/10/2018,
Andre Luis Gaspar Janones,,Deputado Federal eleito,AVANTE,,,id239872239397663,28/10/2018,
Greyce De Queiroz Elias,,Deputado Federal eleito,AVANTE,,,id1433103303568739,28/10/2018,
Luis Henrique De Oliveira Resende,,Deputado Federal eleito,AVANTE,,,id1526286600948051,28/10/2018,
João Francisco Inácio Brazão,,Deputado Federal eleito,AVANTE,,,id564150546986457,28/10/2018,
Luiz Antonio Da Costa Carvalho Correa Da Silva,,Deputado Federal eleito,DC,,,id461990540812267,28/10/2018,
Alan Rick Miranda,,Deputado Federal eleito,DEM,,,id213808655377408,28/10/2018,
Arthur De Oliveira Maia Da Silva,,Deputado Federal eleito,DEM,,,id558618490903477,28/10/2018,
Elmar José Vieira Nascimento,,Deputado Federal eleito,DEM,,,id1475414669371697,28/10/2018,
Leur Antonio De Britto Lomanto Junior,,Deputado Federal eleito,DEM,,,id1470752259861187,28/10/2018,
Paulo Velloso Dantas Azi,,Deputado Federal eleito,DEM,,,id1494112327487143,28/10/2018,
Luis Claudio Fernandes Miranda,,Deputado Federal eleito,DEM,,,id1496677140634911,28/10/2018,
Norma Ayub Alves,,Deputado Federal eleito,DEM,,,id217565111759515,28/10/2018,
Jose Mario Schreiner,,Deputado Federal eleito,DEM,,,id129661170725385,28/10/2018,
Zacarias Calil Hamu,,Deputado Federal eleito,DEM,,,id266360393867344,28/10/2018,
José Juscelino Dos Santos Rezende Filho,,Deputado Federal eleito,DEM,,,id1464829283764986,28/10/2018,
Olavo Bilac Pinto Neto,,Deputado Federal eleito,DEM,,,id700540596632818,28/10/2018,
Tereza Cristina Correa Da Costa Dias,,Deputado Federal eleito,DEM,,,id436888273049888,28/10/2018,
Hélio Leite Da Silva,,Deputado Federal eleito,DEM,,,id582396228542027,28/10/2018,
Olival Henrique Marques De Souza,,Deputado Federal eleito,DEM,,,id235062426703649,28/10/2018,
Efraim De Araujo Morais Filho,,Deputado Federal eleito,DEM,,,id810714015625617,28/10/2018,
Fernando Bezerra De Souza Coelho Filho,,Deputado Federal eleito,DEM,,,id642849045735037,28/10/2018,
Pedro Deboni Lupion Mello,,Deputado Federal eleito,DEM,,,id600910850022315,28/10/2018,
Pedro Paulo Carvalho Teixeira,,Deputado Federal eleito,DEM,,,id249383531739005,28/10/2018,
Rodrigo Felinto Ibarra Epitácio Maia,,Deputado Federal eleito,DEM,,,id194263324017292,28/10/2018,
Rogerio Teixeira Junior,,Deputado Federal eleito,DEM,,,id600557210105330,28/10/2018,
Sóstenes Silva Cavalcante,,Deputado Federal eleito,DEM,,,id175865939276344,28/10/2018,
Onyx Dornelles Lorenzoni,,Deputado Federal eleito,DEM,,,id263899720309064,28/10/2018,
Adriano Eli Corrêa,,Deputado Federal eleito,DEM,,,id289932741037155,28/10/2018,
Alexandre Leite Da Silva,,Deputado Federal eleito,DEM,,,id203088656460254,28/10/2018,
David Bezerra Ribeiro Soares,,Deputado Federal eleito,DEM,,,id306768639382744,28/10/2018,
Eugenio José Zuliani,,Deputado Federal eleito,DEM,,,id318182948245160,28/10/2018,
Kim Patroca Kataguiri,,Deputado Federal eleito,DEM,,,id833053646745836,28/10/2018,
Carlos Henrique Amorim,,Deputado Federal eleito,DEM,,,id406853466072459,28/10/2018,
Maria Auxiliadora Seabra Rezende,,Deputado Federal eleito,DEM,,,id291482090931929,28/10/2018,
Flaviano Flavio Baptista De Melo,,Deputado Federal eleito,MDB,,,id1504479649763573,28/10/2018,
Jessica Rojas Sales,,Deputado Federal eleito,MDB,,,id,28/10/2018,
Isnaldo Bulhões Barros Junior,,Deputado Federal eleito,MDB,,,id1513764222043776,28/10/2018,
Moses Haendel Melo Rodrigues,,Deputado Federal eleito,MDB,,,id689234604459715,28/10/2018,
Hildo Augusto Da Rocha Neto,,Deputado Federal eleito,MDB,,,id587492024677202,28/10/2018,
João Marcelo Santos Souza,,Deputado Federal eleito,MDB,,,id1648893302002419,28/10/2018,
Fábio Augusto Ramalho Dos Santos,,Deputado Federal eleito,MDB,,,id,28/10/2018,
Hercílio Araújo Diniz Filho,,Deputado Federal eleito,MDB,,,id1617603285020017,28/10/2018,
Mauro Ribeiro Lopes,,Deputado Federal eleito,MDB,,,id194409937899344,28/10/2018,
Newton Cardoso Júnior,,Deputado Federal eleito,MDB,,,id650863341637642,28/10/2018,
Carlos Gomes Bezerra,,Deputado Federal eleito,MDB,,,id646168272127229,28/10/2018,
Juarez Alves Da Costa,,Deputado Federal eleito,MDB,,,id2033526680291109,28/10/2018,
Elcione Therezinha Zahluth Barbalho,,Deputado Federal eleito,MDB,,,id199910936714918,28/10/2018,
José Benito Priante Junior,,Deputado Federal eleito,MDB,,,id377987085597403,28/10/2018,
Raul Jean Louis Henry Junior,,Deputado Federal eleito,MDB,,,id228058993888678,28/10/2018,
